,Restaurants,lat-long
14901,house of veggies raj nagar ghaziabad,"28.6773885188,77.4436428398"
14902,madams chinese pandav nagar new delhi,"28.6154696720,77.2861160338"
14903,biryani kormas sector 43 faridabad,"28.4622269985,77.2996072099"
14904,raj grill nit faridabad,"28.3995819480,77.2969417647"
14905,hoggers 1 pitampura new delhi,"28.6844490000,77.1345346000"
14906,chinese junction sector 71 noida,"28.5972326949,77.3785630614"
14907,curry munchers vasant kunj new delhi,"28.5305501689,77.1504130214"
14908,breaktime sector 62 noida,"28.6234216945,77.3611665890"
14909,dips netaji subhash place new delhi,"28.6938151963,77.1498769149"
14910,urban pendu raj nagar ghaziabad,"28.7050187654,77.4322900549"
14911,ultimate chinese fast food south indian shahdara new delhi,"28.6624164067,77.2889320180"
14912,new pizza slice sector 16 dwarka,"28.6155300000,77.0240610000"
14913,yaara da cafe subhash nagar new delhi,"28.6307039226,77.1183928102"
14914,kebabz nirvana food truck,"28.5878953103,77.4001394212"
14915,mr mrs punjabi rohini new delhi,"28.7058980372,77.1226773039"
14916,victoria biryani house jasola new delhi,"28.5450483502,77.3014237359"
14917,dinesh parantha maggi point sector 125 noida,"28.5397488200,77.3414016200"
14918,new delhi 18s kathi rolls vikaspuri new delhi,"28.6387039323,77.0743294805"
14919,hakka bakka sector 12 dwarka new delhi,"28.5908628268,77.0445881411"
14920,mastani biryani malviya nagar new delhi,"28.5356070718,77.2104331478"
14921,the lunchbox subhash nagar new delhi,"28.6434775753,77.1050491557"
14922,shri radhe gujranwala town new delhi,"28.7006258247,77.1839017421"
14923,s o s sins of singh vasant kunj new delhi,"28.5304473671,77.1474129707"
14924,mazedar biryani 1 sector 7 gurgaon,"28.4681071334,77.0092802122"
14925,plazas frontier vasant kunj new delhi,"28.5184117873,77.1583218500"
14926,bangla sweets bakers raj nagar ghaziabad,"28.6603791092,77.4274365976"
14927,delhi delish sainik farms new delhi,"28.5149879489,77.2054482624"
14928,momos mantra madhu vihar,"28.6009694181,77.0612319186"
14929,ansari paratha junction shahdara new delhi,"28.6764630000,77.2742590000"
14930,zap kitchen sohna road gurgaon,"28.4109115271,77.0351722464"
14931,lakshmi sweets lajpat nagar 4 new delhi,"28.5626907133,77.2379331663"
14932,mother made biryani 1 delhi university gtb nagar new delhi,"28.6887530000,77.1997340000"
14933,makhan bhog kheer sector 86 faridabad,"28.4108817427,77.3416756466"
14934,brijwasi kachori sector 37 faridabad,"28.4808737102,77.3077614605"
14935,house of veggies raj nagar ghaziabad,"28.6773885188,77.4436428398"
14936,madams chinese pandav nagar new delhi,"28.6154696720,77.2861160338"
14937,biryani kormas sector 43 faridabad,"28.4622269985,77.2996072099"
14938,raj grill nit faridabad,"28.3995819480,77.2969417647"
14939,hoggers 1 pitampura new delhi,"28.6844490000,77.1345346000"
14940,lamour sugar model town 2 new delhi,"28.7088601582,77.1888373420"
14941,mrs bectors cremica kamla nagar new delhi,"28.6821992265,77.2025883570"
14942,the oven hot 1 janakpuri new delhi,"28.6301859873,77.0813303813"
14943,baba chinese fast food snacks model town 3,"28.7150429077,77.1767328680"
14944,italian valley mukherjee nagar new delhi,"28.7128930000,77.2079430000"
14945,best bikaner narela new delhi,"28.8575255000,77.1062895000"
14946,aapki rasoi charmwood village faridabad,"28.4989558246,77.2921191528"
14947,south sadan omega 2 greater noida,"28.4606241261,77.5067830458"
14948,roll factory mukherjee nagar new delhi,"28.7076936107,77.2045993432"
14949,shere e punjab sector 52 noida,"28.5865372700,77.3629060000"
14950,sweet bricks mayur vihar phase 3 new delhi,"28.6131833430,77.3323462531"
14951,workout then food 1 laxmi nagar new delhi,"28.6349673745,77.2757791355"
14952,u me 1 sector 71 noida,"28.5963781223,77.3829592019"
14953,magik chaap dlf phase 3 gurgaon,"28.4926684103,77.0944266021"
14954,mirchis achha khao achha khilao raj nagar ghaziabad,"28.6743952089,77.4438728392"
14955,nanak fruit juice rajouri garden new delhi,"28.6307633673,77.1193704754"
14956,oye hotdogs south extension 1 new delhi,"28.5689044606,77.2215780616"
14957,rahul caterers sector 14 gurgaon,"28.4759008289,77.0362317190"
14958,rk sweets old railway road gurgaon,"28.4662877161,77.0205119625"
14959,desi delivery kamla nagar new delhi,"28.6839334390,77.2048628703"
14960,dil tandoori kamla nagar new delhi,"28.6693676323,77.2036042437"
14961,new chinese hut indirapuram ghaziabad,"28.6407593061,77.3775900900"
14962,lets wok new friends colony new delhi,"28.5693970000,77.2537630000"
14963,asli alam muradabadi chicken corner sector 43 gurgaon,"28.4611729608,77.0954257250"
14964,supar meraki 1 sarita vihar new delhi,"28.5154392821,77.3022733256"
14965,bangla sweets pastry shop shalimar bagh new delhi,"28.7032334387,77.1618087217"
14966,the food nest shahpur jat new delhi,"28.5489765917,77.2110182047"
14967,brunch bee gujranwala town new delhi,"28.6940022460,77.1895954013"
14968,garhwal mahak chinese food ina,"28.5746750078,77.2099868953"
14969,chinese chakkar sector 10 dwarka new delhi,"28.5834050160,77.0562661439"
14970,chinese kitchen preet vihar new delhi,"28.6320680000,77.2945100000"
14971,gravy train rohini new delhi,"28.7167777523,77.1320496127"
14972,youth house express sushant lok gurgaon,"28.4347756000,77.0438230000"
14973,cook fit sector 12 dwarka new delhi,"28.5959300797,77.0414167643"
14974,petpooja cafe azadpur new delhi,"28.7607840000,77.1888660000"
14975,the mothers food okhla new delhi,"28.5197044621,77.2806956247"
14976,rajdeep cake pastry shop 1 lado sarai new delhi,"28.5259852574,77.1922621876"
14977,paradise paratha junction 1 uttam nagar new delhi,"28.6144639642,77.0660458133"
14978,jj pizza west patel nagar new delhi,"28.6505542197,77.1658843383"
14979,moolchand restaurant 1 kamla nagar new delhi,"28.6670833602,77.1903843060"
14980,flavour of noodles lajpat nagar 4 new delhi,"28.5629516144,77.2437914461"
14981,famous bakers wazirabad ghaziabad,"28.7247790000,77.2178320000"
14982,the biryani point sector 5 dwarka new delhi,"28.6025450000,77.0583230000"
14983,anytime kitchen janakpuri new delhi,"28.6219513559,77.0744763315"
14984,goswami misthan bhandar shahdara new delhi,"28.6854346744,77.2690997645"
14985,momo point dlf phase 3 gurgaon,"28.4874250000,77.1037900000"
14986,2 yumm kitchen sector 11 dwarka new delhi,"28.5865104406,77.0456600189"
14987,the cake town vaishali ghaziabad,"28.6490816132,77.3431488499"
14988,bakers byte 1 safdarjung new delhi,"28.5623950638,77.1975065768"
14989,misha tiffin service uttam nagar new delhi,"28.6211034591,77.0511129498"
14990,manjit chicken madhu vihar,"28.6016390000,77.0612970000"
14991,shri sham sweets sushant lok gurgaon,"28.4601133122,77.0840303600"
14992,namaste china golf course road gurgaon,"28.4406752030,77.1031296998"
14993,chete pute sector 72 noida,"28.5719714466,77.3860943690"
14994,kumar sweets namkeen paschim vihar new delhi,"28.6684136275,77.1020226181"
14995,cake villah dlf phase 4 gurgaon,"28.4717815358,77.0837373286"
14996,bon fire lets bake chef rohini new delhi,"28.7038101222,77.0973307639"
14997,midnight owl tagore garden new delhi,"28.6499001554,77.1174084395"
14998,grilled tales netaji subhash place new delhi,"28.6935252098,77.1492405608"
14999,salt laxmi nagar new delhi,"28.6304022845,77.2761392221"
15000,bansal cake 1 paschim vihar new delhi,"28.6736251002,77.1174050868"
15001,wok nizamuddin new delhi,"28.5918344000,77.2415888000"
15002,prems food ashok vihar phase 3 new delhi,"28.6924340770,77.1836315095"
15003,bao sang dlf phase 4 gurgaon,"28.4617530366,77.0879530907"
15004,cake junction west patel nagar new delhi,"28.6518510000,77.1594700000"
15005,cafe premier essai sector 72 noida,"28.5568270399,77.3838225380"
15006,biryani corner hauz khas village new delhi,"28.5533926697,77.1944991499"
15007,banjara kitchen sector pi greater noida,"28.4627290000,77.5391160000"
15008,da pizza corner 1 chhatarpur new delhi,"28.4962626956,77.1847637370"
15009,tanya bakes mayur vihar new delhi,"28.6079073489,77.2924996912"
15010,ipie rohini new delhi,"28.7143439631,77.1085591614"
15011,annapurna rasoi sector 14 gurgaon,"28.4740706412,77.0423786715"
15012,managers house sector 45 noida,"28.5553869857,77.3537858203"
15013,delicious nights delhi university gtb nagar new delhi,"28.7173120198,77.2029695660"
15014,pooran bakery nehru nagar ghaziabad,"28.6740431000,77.4241029000"
15015,misha tiffin service uttam nagar new delhi,"28.6211034591,77.0511129498"
15016,manjit chicken madhu vihar,"28.6016390000,77.0612970000"
15017,shri sham sweets sushant lok gurgaon,"28.4601133122,77.0840303600"
15018,namaste china golf course road gurgaon,"28.4406752030,77.1031296998"
15019,chete pute sector 72 noida,"28.5719714466,77.3860943690"
15020,kumar sweets namkeen paschim vihar new delhi,"28.6684136275,77.1020226181"
15021,cake villah dlf phase 4 gurgaon,"28.4717815358,77.0837373286"
15022,bon fire lets bake chef rohini new delhi,"28.7038101222,77.0973307639"
15023,midnight owl tagore garden new delhi,"28.6499001554,77.1174084395"
15024,grilled tales netaji subhash place new delhi,"28.6935252098,77.1492405608"
15025,salt laxmi nagar new delhi,"28.6304022845,77.2761392221"
15026,bansal cake 1 paschim vihar new delhi,"28.6736251002,77.1174050868"
15027,wok nizamuddin new delhi,"28.5918344000,77.2415888000"
15028,prems food ashok vihar phase 3 new delhi,"28.6924340770,77.1836315095"
15029,bao sang dlf phase 4 gurgaon,"28.4617530366,77.0879530907"
15030,cake junction west patel nagar new delhi,"28.6518510000,77.1594700000"
15031,cafe premier essai sector 72 noida,"28.5568270399,77.3838225380"
15032,biryani corner hauz khas village new delhi,"28.5533926697,77.1944991499"
15033,banjara kitchen sector pi greater noida,"28.4627290000,77.5391160000"
15034,da pizza corner 1 chhatarpur new delhi,"28.4962626956,77.1847637370"
15035,tanya bakes mayur vihar new delhi,"28.6079073489,77.2924996912"
15036,ipie rohini new delhi,"28.7143439631,77.1085591614"
15037,annapurna rasoi sector 14 gurgaon,"28.4740706412,77.0423786715"
15038,managers house sector 45 noida,"28.5553869857,77.3537858203"
15039,delicious nights delhi university gtb nagar new delhi,"28.7173120198,77.2029695660"
15040,pooran bakery nehru nagar ghaziabad,"28.6740431000,77.4241029000"
15041,tikaroll saket new delhi,"28.5193427033,77.2004070506"
15042,the big chefs sector 59 noida,"28.6071308651,77.3675753921"
15043,choc a bloc sector 7 dwarka new delhi,"28.5837291645,77.0721927658"
15044,annas dosa camp 5 gaur city 2 greater noida,"28.6196489809,77.4262661487"
15045,subhash dhaba mukherjee nagar new delhi,"28.7011431179,77.2089153528"
15046,cultfresh dlf phase 4 gurgaon,"28.4700850000,77.0885900000"
15047,the indian pizza shalimar garden ghaziabad,"28.6919061528,77.3393005505"
15048,bajrangi rasoi kamla nagar new delhi,"28.6726984913,77.2051971406"
15049,marwadi kitchen badarpur border faridabad,"28.4954223309,77.3212144151"
15050,for peace slow cooking vaishali ghaziabad,"28.6402402434,77.3430415615"
15051,mujeeb kathi roll knowledge park,"28.4609884442,77.4968065694"
15052,garam masala chittaranjan park new delhi,"28.5381860930,77.2641923279"
15053,tasty rolls karol bagh new delhi,"28.6531724953,77.1801728010"
15054,dadi ki rasoi sector 45 noida,"28.5499679062,77.3596544936"
15055,barristers kitchen sector 15 gurgaon,"28.4524472709,77.0159206912"
15056,vibh cake studio vasundhara enclave new delhi,"28.5981449575,77.3109717295"
15057,happiness with icing pitampura new delhi,"28.6982972384,77.1320807934"
15058,bhagwan sweets lajpat nagar 1 new delhi,"28.5756969959,77.2426836938"
15059,samrat cakes bakes 1 sector 16 faridabad,"28.4145725826,77.3199118674"
15060,vero gusto cakeyano malviya nagar new delhi,"28.5340845478,77.2134506330"
15061,satvik night bytes indirapuram ghaziabad,"28.6468781080,77.3677316308"
15062,snackers adda sector 7 gurgaon,"28.4691650000,77.0132600000"
15063,d food adda west patel nagar new delhi,"28.6514920000,77.1608960000"
15064,baba chinese food corner mayur vihar phase 3 new delhi,"28.6103933538,77.3360658064"
15065,shri krishna namkeen bhandar palam new delhi,"28.5899910000,77.0942380000"
15066,jaat ka dhaba west patel nagar new delhi,"28.6518314000,77.1622778000"
15067,homes based dhaba sector 71 noida,"28.5987175093,77.3917612061"
15068,khana by kilo dlf phase 3 gurgaon,"28.4859377099,77.1028286219"
15069,sharma chinese hub kamla nagar new delhi,"28.6732471035,77.2032062709"
15070,cake eats gaur city 1 greater noida,"28.6119800000,77.4224630000"
15071,kamath tiffins tughlakabad new delhi,"28.5186680000,77.2369660000"
15072,sasta chinese 2 malviya nagar new delhi,"28.5347066380,77.2145935893"
15073,foody box,"28.6912438174,77.2012311593"
15074,nawabs garam masala 1 raj nagar ghaziabad,"28.7019753693,77.4291528761"
15075,marwadi kitchen badarpur border faridabad,"28.4954223309,77.3212144151"
15076,for peace slow cooking vaishali ghaziabad,"28.6402402434,77.3430415615"
15077,mujeeb kathi roll knowledge park,"28.4609884442,77.4968065694"
15078,garam masala chittaranjan park new delhi,"28.5381860930,77.2641923279"
15079,tasty rolls karol bagh new delhi,"28.6531724953,77.1801728010"
15080,dadi ki rasoi sector 45 noida,"28.5499679062,77.3596544936"
15081,barristers kitchen sector 15 gurgaon,"28.4524472709,77.0159206912"
15082,vibh cake studio vasundhara enclave new delhi,"28.5981449575,77.3109717295"
15083,happiness with icing pitampura new delhi,"28.6982972384,77.1320807934"
15084,bhagwan sweets lajpat nagar 1 new delhi,"28.5756969959,77.2426836938"
15085,samrat cakes bakes 1 sector 16 faridabad,"28.4145725826,77.3199118674"
15086,11th hour dlf phase 3 gurgaon,"28.4947525685,77.0958464965"
15087,auntys rolls corner kalkaji new delhi,"28.5308853789,77.2569540516"
15088,rs 99 store sector 49 gurgaon,"28.4194893743,77.0477829874"
15089,chinu chinese fast food snacks vasant kunj new delhi,"28.5253419063,77.1557804570"
15090,red chilli sector 71 noida,"28.6003182829,77.3823436350"
15091,the home bowl kitchen tagore garden new delhi,"28.6468295592,77.1051711962"
15092,the rooster point 1 sector 7 dwarka new delhi,"28.5837421186,77.0719832182"
15093,biryani corner amar colony new delhi,"28.5626889465,77.2447479889"
15094,the punjabi chula sector 72 noida,"28.5651459853,77.3790840805"
15095,the guardhouse cafe civil lines new delhi,"28.6833066433,77.2222147509"
15096,ram sweets pastry shop sector 49 faridabad,"28.3997137800,77.2760634497"
15097,spice kathi rolls sector 17 gurgaon,"28.4780445543,77.0609774441"
15098,big d cafe nehru nagar ghaziabad,"28.6509308270,77.4418980628"
15099,fatafat kitchen sector 13 dwarka new delhi,"28.5974025488,77.0356808603"
15100,gera bakery nit faridabad,"28.3978577947,77.2935574874"
15101,punjabi tadka sector 15 dwarka,"28.6361830000,77.0321350000"
15102,zaika 1 raj nagar ghaziabad,"28.6899000167,77.4528039247"
15103,brocane janakpuri new delhi,"28.6112033678,77.0936933532"
15104,thali inbox dlf phase 3 gurgaon,"28.4861139317,77.1026083454"
15105,kays food land sector 37 faridabad,"28.4804882421,77.3102106526"
15106,mehta tiffin center uttam nagar new delhi,"28.6195886470,77.0533240959"
15107,momo company mg road gurgaon,"28.4759820000,77.0833170000"
15108,momos point rohini new delhi,"28.7103950000,77.0951240000"
15109,burgers hut subhash nagar new delhi,"28.6343650047,77.1209234744"
15110,wat a taste paschim vihar new delhi,"28.6735212615,77.0906393230"
15111,biryani wala rohini new delhi,"28.7199840000,77.1358360000"
15112,pathankot wale vijay nagar new delhi,"28.6928375916,77.2010732442"
15113,pasta street laxmi nagar new delhi,"28.6398009213,77.2791969404"
15114,max cake 1 sector 63 noida,"28.6277290000,77.3887260000"
15115,rahul sweets caterers rajendar nagar,"28.6801510000,77.3631790000"
15116,pocket kitchen malviya nagar new delhi,"28.5345402174,77.2145617381"
15117,thai chi kitchen greater kailash gk 1 new delhi,"28.5563296492,77.2392092273"
15118,vicky punjabi chicken sector 56 gurgaon,"28.4253022998,77.1001279727"
15119,the london shakes and cafe sector 83 gurgaon,"28.3941935070,76.9697997719"
15120,yaar anmulle food corner hauz khas new delhi,"28.5424309138,77.2038349137"
15121,peters pan sohna road gurgaon,"28.4166070000,77.0612280000"
15122,the bakers expert sector 22 noida,"28.5931776082,77.3427827284"
15123,janak chinese fast food sector 21 faridabad,"28.4299400000,77.2974400000"
15124,pickle onion sector 41 noida,"28.5617442787,77.3603190109"
15125,kakka mahipalpur new delhi,"28.5426238294,77.1241270378"
15126,pasta corner sector 28 faridabad,"28.4345579743,77.3153279722"
15127,hot bite chinese fast food uttam nagar new delhi,"28.6232933791,77.0644763857"
15128,ghar jaisa khana sector 19 faridabad,"28.4156385851,77.3088266328"
15129,qureshi chicken point gamma 1 greater noida,"28.4801630000,77.5000550000"
15130,kc bakery sector 15 noida,"28.5816632531,77.3130564764"
15131,chinese chacha sector 23 gurgaon,"28.5108029000,77.0492077000"
15132,punjabiya di chaap janakpuri new delhi,"28.6089802295,77.1059373021"
15133,sardar ji sector 45,"28.5428874310,77.3586506769"
15134,aone bakers sarita vihar new delhi,"28.5440000000,77.2914000000"
15135,swirills bakers karkardooma new delhi,"28.6558683771,77.3014166951"
15136,the bloody brothers food services beta 1 greater noida,"28.4795964736,77.5036907941"
15137,paratha zone sector 21 gurgaon,"28.5162759521,77.0717900991"
15138,hot pot sector 11 dwarka new delhi,"28.5866040612,77.0459181815"
15139,kays food land sector 37 faridabad,"28.4804882421,77.3102106526"
15140,mehta tiffin center uttam nagar new delhi,"28.6195886470,77.0533240959"
15141,momo company mg road gurgaon,"28.4759820000,77.0833170000"
15142,momos point rohini new delhi,"28.7103950000,77.0951240000"
15143,burgers hut subhash nagar new delhi,"28.6343650047,77.1209234744"
15144,wat a taste paschim vihar new delhi,"28.6735212615,77.0906393230"
15145,biryani wala rohini new delhi,"28.7199840000,77.1358360000"
15146,pathankot wale vijay nagar new delhi,"28.6928375916,77.2010732442"
15147,pasta street laxmi nagar new delhi,"28.6398009213,77.2791969404"
15148,max cake 1 sector 63 noida,"28.6277290000,77.3887260000"
15149,rahul sweets caterers rajendar nagar,"28.6801510000,77.3631790000"
15150,pocket kitchen malviya nagar new delhi,"28.5345402174,77.2145617381"
15151,thai chi kitchen greater kailash gk 1 new delhi,"28.5563296492,77.2392092273"
15152,vicky punjabi chicken sector 56 gurgaon,"28.4253022998,77.1001279727"
15153,the london shakes and cafe sector 83 gurgaon,"28.3941935070,76.9697997719"
15154,yaar anmulle food corner hauz khas new delhi,"28.5424309138,77.2038349137"
15155,peters pan sohna road gurgaon,"28.4166070000,77.0612280000"
15156,the bakers expert sector 22 noida,"28.5931776082,77.3427827284"
15157,janak chinese fast food sector 21 faridabad,"28.4299400000,77.2974400000"
15158,pickle onion sector 41 noida,"28.5617442787,77.3603190109"
15159,kakka mahipalpur new delhi,"28.5426238294,77.1241270378"
15160,pasta corner sector 28 faridabad,"28.4345579743,77.3153279722"
15161,hot bite chinese fast food uttam nagar new delhi,"28.6232933791,77.0644763857"
15162,ghar jaisa khana sector 19 faridabad,"28.4156385851,77.3088266328"
15163,qureshi chicken point gamma 1 greater noida,"28.4801630000,77.5000550000"
15164,kc bakery sector 15 noida,"28.5816632531,77.3130564764"
15165,k s kitchen vasant kunj new delhi,"28.5177470000,77.1650340000"
15166,cake express vasundhara enclave new delhi,"28.5981708622,77.3110719770"
15167,noida combos zone sector 71 noida,"28.6012084415,77.3739972711"
15168,sugar rush 2 sector 38 noida,"28.5645830000,77.3213280000"
15169,foodiez vasundhara enclave new delhi,"28.6003335899,77.3204701021"
15170,bake me a cake punjabi bagh new delhi,"28.6744796322,77.1290747076"
15171,pandit ji di hatti khan market new delhi,"28.5998150000,77.2267300000"
15172,birinj biryani 2 sector 22 noida,"28.5902946481,77.3442743719"
15173,tummy yummy uttam nagar new delhi,"28.6204968894,77.0631282404"
15174,the pakwaan tales sohna road gurgaon,"28.4084783222,77.0426358283"
15175,gills kitchen sector 7 dwarka new delhi,"28.5868752072,77.0720063522"
15176,rajouris chick shop rajouri garden new delhi,"28.6384567551,77.1206431836"
15177,the home oven saket new delhi,"28.5103662000,77.1993282000"
15178,punjabi bhature point sector 12 noida,"28.5947949515,77.3396586254"
15179,spice namaste food corner sector 12 noida,"28.5916903604,77.3354190588"
15180,streeto gaur city 2 greater noida,"28.6193149000,77.4216635000"
15181,darbar e china 2 malviya nagar new delhi,"28.5314400000,77.2177820000"
15182,aradhya food mayapuri new delhi,"28.6198043774,77.1112772450"
15183,veg sagar restaurant sahibabad ghaziabad,"28.6875338384,77.3443105817"
15184,king of combo sector 53 noida,"28.5956760311,77.3623051867"
15185,handi express gaur city 1 greater noida,"28.6121605420,77.4224366248"
15186,greedy guts subhash nagar new delhi,"28.6393504157,77.1091539413"
15187,amrits agni multi cuisine restaurant sector 48 noida,"28.5574096000,77.3676875000"
15188,little owl night kitchen rohini new delhi,"28.7417913044,77.1255217865"
15189,kaynaat kitchen pitampura new delhi,"28.7013054515,77.1295390651"
15190,punjabi zaika 1 subhash nagar new delhi,"28.6340280000,77.1193610000"
15191,bon patisserie bakery sector 12 noida,"28.5969698181,77.3396244273"
15192,mehfil e tandoor uttam nagar new delhi,"28.6214068000,77.0620740000"
15193,yummees ready foods kirti nagar new delhi,"28.6435111192,77.1352739632"
15194,shanghai chinese food 1 preet vihar new delhi,"28.6393780758,77.2957337648"
15195,indian table punjabi bagh new delhi,"28.6705687305,77.1328857914"
15196,spooky sky rajouri garden new delhi,"28.6490727863,77.1210934594"
15197,food factory rajinder nagar new delhi,"28.6323383448,77.1755228564"
15198,moms bakery raj nagar ghaziabad,"28.6888382578,77.4357705563"
15199,pishori chicken 1 vikaspuri new delhi,"28.6348867449,77.0701619983"
15200,laksh tiffin rohini new delhi,"28.7385199700,77.1191880852"
15201,cfc restaurant 1 sector 72 noida,"28.5917330000,77.3809460000"
15202,deol da dhaba lawrence road new delhi,"28.6763863461,77.1662927046"
15203,the palushtan k c fast food ashok vihar phase 3 new delhi,"28.6872085399,77.1836955473"
15204,monster cakes mg road new delhi,"28.4930455832,77.1462106705"
15205,cakeophony by sonali alaknanda new delhi,"28.5254296897,77.2550158203"
15206,punjabi mirchi geeta colony new delhi,"28.6581590719,77.2745345905"
15207,the last mughal tlm shahpur jat new delhi,"28.5491768580,77.2134908661"
15208,nirvana momos sainik farms new delhi,"28.5110752334,77.2024934739"
15209,bansal sweets tilak nagar new delhi,"28.6447563556,77.1004857123"
15210,king of combo sector 53 noida,"28.5956760311,77.3623051867"
15211,handi express gaur city 1 greater noida,"28.6121605420,77.4224366248"
15212,greedy guts subhash nagar new delhi,"28.6393504157,77.1091539413"
15213,amrits agni multi cuisine restaurant sector 48 noida,"28.5574096000,77.3676875000"
15214,little owl night kitchen rohini new delhi,"28.7417913044,77.1255217865"
15215,kaynaat kitchen pitampura new delhi,"28.7013054515,77.1295390651"
15216,punjabi zaika 1 subhash nagar new delhi,"28.6340280000,77.1193610000"
15217,bon patisserie bakery sector 12 noida,"28.5969698181,77.3396244273"
15218,mehfil e tandoor uttam nagar new delhi,"28.6214068000,77.0620740000"
15219,yummees ready foods kirti nagar new delhi,"28.6435111192,77.1352739632"
15220,shanghai chinese food 1 preet vihar new delhi,"28.6393780758,77.2957337648"
15221,indian table punjabi bagh new delhi,"28.6705687305,77.1328857914"
15222,spooky sky rajouri garden new delhi,"28.6490727863,77.1210934594"
15223,food factory rajinder nagar new delhi,"28.6323383448,77.1755228564"
15224,moms bakery raj nagar ghaziabad,"28.6888382578,77.4357705563"
15225,delhi juice and shake sector 29 faridabad,"28.4337483710,77.3219201714"
15226,bhikji samose wala paschim vihar new delhi,"28.6667927113,77.1009725332"
15227,handi masala restaurant sainik farms new delhi,"28.5090883280,77.2012405470"
15228,the pizza master narela new delhi,"28.8594210000,77.0880860000"
15229,the taste of noida gamma 1 greater noida,"28.4818211657,77.4989882112"
15230,aartiz kitchen laxmi nagar new delhi,"28.6366708824,77.2831049189"
15231,tandoori angithi rohini new delhi,"28.7162120000,77.1055330000"
15232,birbal ki biryani mayur vihar phase 2 new delhi,"28.6194361934,77.2990949079"
15233,m s u k restuarant karol bagh new delhi,"28.6471173210,77.1885654330"
15234,sauces n spices shalimar bagh new delhi,"28.7155648343,77.1551394090"
15235,yaaron ki rasoi subhash nagar new delhi,"28.6309570000,77.1125810000"
15236,momosa sohna road gurgaon,"28.3903704086,77.0674516261"
15237,chenaab the dhaba geeta colony new delhi,"28.6562964519,77.2706842795"
15238,food gorilla sector 2 dwarka new delhi,"28.6004946079,77.0657826215"
15239,nihira golf course road gurgaon,"28.4472195295,77.0994074643"
15240,mumbai dosa wala rohini new delhi,"28.7049281912,77.1089782566"
15241,bansal cake paschim vihar new delhi,"28.6709682111,77.1026542783"
15242,cafe wanderlust shots sector 56,"28.4311580000,77.0899030000"
15243,bake hmm by slice of italy sector 51 noida,"28.5782741520,77.3624356091"
15244,foodie village shahpur jat new delhi,"28.5472450000,77.2130770000"
15245,deep bakers vikaspuri new delhi,"28.6378108547,77.0656069368"
15246,aashirwad khana 1 pandav nagar new delhi,"28.6241080000,77.2844900000"
15247,punjabi tadka sector 83 gurgaon,"28.4033318699,76.9629735500"
15248,chimney dilshad garden new delhi,"28.6881870796,77.3108154908"
15249,paratha university delhi university gtb nagar new delhi,"28.6880411963,77.2005042806"
15250,breakfast furious dlf phase 4 gurgaon,"28.4698602050,77.0857506618"
15251,vatika thaliwala sector 83 gurgaon,"28.3892165502,76.9555324316"
15252,magical chaap nation sector 45 gurgaon,"28.4379469786,77.0672239736"
15253,global platters sector 14 gurgaon,"28.4704682323,77.0452724397"
15254,suvidha restaurant paharganj new delhi,"28.6480050232,77.2169083357"
15255,guru ji kitchen rohini new delhi,"28.7313490000,77.1225450000"
15256,metro pizza yum subhash nagar new delhi,"28.6408269841,77.1047802642"
15257,punj tara janakpuri new delhi,"28.6218218615,77.0861560106"
15258,kababs and more dlf phase 4 gurgaon,"28.4727564821,77.0808965340"
15259,delhi juice and shake sector 29 faridabad,"28.4337483710,77.3219201714"
15260,bhikji samose wala paschim vihar new delhi,"28.6667927113,77.1009725332"
15261,handi masala restaurant sainik farms new delhi,"28.5090883280,77.2012405470"
15262,the pizza master narela new delhi,"28.8594210000,77.0880860000"
15263,the taste of noida gamma 1 greater noida,"28.4818211657,77.4989882112"
15264,aartiz kitchen laxmi nagar new delhi,"28.6366708824,77.2831049189"
15265,tandoori angithi rohini new delhi,"28.7162120000,77.1055330000"
15266,birbal ki biryani mayur vihar phase 2 new delhi,"28.6194361934,77.2990949079"
15267,m s u k restuarant karol bagh new delhi,"28.6471173210,77.1885654330"
15268,sauces n spices shalimar bagh new delhi,"28.7155648343,77.1551394090"
15269,yaaron ki rasoi subhash nagar new delhi,"28.6309570000,77.1125810000"
15270,alive kitchen vikaspuri new delhi,"28.6388766618,77.0759471878"
15271,red capsicum indirapuram ghaziabad,"28.6395625744,77.3776705563"
15272,chiness food express tughlakabad new delhi,"28.5204520000,77.2557050000"
15273,flaming kukkar rohini new delhi,"28.7199553835,77.1020618454"
15274,dwarka food night express sector 2 dwarka new delhi,"28.5947893583,77.0736401528"
15275,beeras kitchen lajpat nagar 4 new delhi,"28.5623040000,77.2434780000"
15276,healthy nashta badarpur border faridabad,"28.4921497954,77.3104785383"
15277,wat a pizza uttam nagar new delhi,"28.6177986271,77.0399824530"
15278,chawla bakers palam vihar gurgaon,"28.5030699328,77.0306091383"
15279,happy tummy sector 50 gurgaon,"28.4136416279,77.0654530451"
15280,biryani lovers hub pitampura new delhi,"28.7229285734,77.1414068341"
15281,rahul pvr ke mashoor parathe saket new delhi,"28.4999100000,77.1970100000"
15282,the food planet tughlakabad new delhi,"28.5209503000,77.2555551000"
15283,pop culture pizza co udyog vihar gurgaon,"28.5128891653,77.0862840861"
15284,the cake mill kirti nagar new delhi,"28.6536650145,77.1298538893"
15285,vatika thaliwala sector 83 gurgaon,"28.3892165502,76.9555324316"
15286,magical chaap nation sector 45 gurgaon,"28.4379469786,77.0672239736"
